1.535.128.731;[sample number];[timestamp per row];[timestamp from unix to excel friendly with timezone offset];[second];[binomial];[label];;FECHA Y HORA INICIAL;;
4;;;;;;;;11:38:51;;
4.855.561;326;1535128812,50;11:40:12,50;81,5;0;nonseizure;;;;
4.932.408;327;1535128812,75;11:40:12,75;81,75;0;nonseizure;;;;
4.977.884;328;1535128813,00;11:40:13,00;82;0;nonseizure;;;;
4.956.111;329;1535128813,25;11:40:13,25;82,25;0;nonseizure;;;;
4.888.229;330;1535128813,50;11:40:13,50;82,5;0;nonseizure;;;;
4.807.539;331;1535128813,75;11:40:13,75;82,75;0;nonseizure;;;;
4.734.534;332;1535128814,00;11:40:14,00;83;0;nonseizure;;;;
4.674.337;333;1535128814,25;11:40:14,25;83,25;0;nonseizure;;;;
4.621.824;334;1535128814,50;11:40:14,50;83,5;0;nonseizure;;;;
4.583.401;335;1535128814,75;11:40:14,75;83,75;0;nonseizure;;;;
4.552.661;336;1535128815,00;11:40:15,00;84;0;nonseizure;;;;
4.524.484;337;1535128815,25;11:40:15,25;84,25;0;nonseizure;;;;
4.505.272;338;1535128815,50;11:40:15,50;84,5;0;nonseizure;;;;
4.482.218;339;1535128815,75;11:40:15,75;84,75;0;nonseizure;;;;
4.460.444;340;1535128816,00;11:40:16,00;85;0;nonseizure;;;;
4.438.671;341;1535128816,25;11:40:16,25;85,25;0;nonseizure;;;;
4.430.338;342;1535128816,50;11:40:16,50;85,5;0;nonseizure;;;;
4.394.476;343;1535128816,75;11:40:16,75;85,75;0;nonseizure;;;;
4.386.791;344;1535128817,00;11:40:17,00;86;0;nonseizure;;;;
4.366.299;345;1535128817,25;11:40:17,25;86,25;0;nonseizure;;;;
4.349.648;346;1535128817,50;11:40:17,50;86,5;0;nonseizure;;;;
4.344.525;347;1535128817,75;11:40:17,75;86,75;0;nonseizure;;;;
4.356.052;348;1535128818,00;11:40:18,00;87;0;nonseizure;;;;
