@RELATION <eda-dataset-normc>

@ATTRIBUTE scl_mean NUMERIC
@ATTRIBUTE scl_correlation NUMERIC
@ATTRIBUTE scr_mean NUMERIC
@ATTRIBUTE scr_std NUMERIC
@ATTRIBUTE eda_slope NUMERIC
@ATTRIBUTE eda_greater_v NUMERIC
@ATTRIBUTE eda_difference NUMERIC
@ATTRIBUTE eda_mean NUMERIC
@ATTRIBUTE eda_variance NUMERIC
@ATTRIBUTE eda_skewness NUMERIC
@ATTRIBUTE eda_kurtosis NUMERIC

@ATTRIBUTE class {0,1}

@DATA
0.0051085,0.0063563,0.0049057,0.0026469,1.6474e-16,0,0,0.0051055,0.0019919,-0.0023737,-0.0023737,0
0.0051107,0.0063551,0.0043965,0.0052465,-0.0071944,0,-0.0075906,0.0051022,0.0020925,-0.00074654,-0.00074654,0
0.005113,0.0063587,0.0043272,0.0049972,0.0011991,0.0053482,0.0037953,0.0051022,0.0020925,-0.00074654,-0.00074654,0
0.0051152,0.0063587,0.0038206,0.0042457,-8.5575e-17,0.0053482,-0.0037953,0.0051055,0.0024748,-0.0007346,-0.0007346,0
0.0051174,0.0063587,0.003481,0.0045928,0.0011991,0.0053482,0.0037953,0.0051088,0.0028169,-0.0011352,-0.0011352,0
0.0051196,0.0063587,0.0043815,0.0056509,1.7892e-17,0.0053482,0,0.0051153,0.0019316,0,0,0
0.0051217,0.0063587,0.0041529,0.0052436,0.0059953,0.0053482,0.0037953,0.005112,0.00167,0.00086713,0.00086713,0
0.0051239,0.0063587,0.0039755,0.0057842,-0.0011991,0.0053482,0,0.005112,0.00167,0.00086713,0.00086713,0
0.0051261,0.0063587,0.0041502,0.0052312,-0.0047962,0.0053482,-0.0037953,0.005112,0.00167,0.00086713,0.00086713,0
0.0051283,0.0063587,0.0032804,0.0029144,-0.0023981,0.0053482,-0.0037953,0.0051088,0.0013682,0.001412,0.001412,0
0.0051305,0.0063587,0.0031089,0.0018808,0.0023981,0.010696,0.0037953,0.0051088,0.0013682,0.001412,0.001412,0
0.0051327,0.0063587,0.003914,0.0052146,0.0047962,0.010696,0.0037953,0.0051153,0.0014487,0,0,0
0.0051349,0.0063587,0.0044357,0.0056809,0.0083934,0.010696,0.0075906,0.0051252,0.003451,0.0064538,0.0064538,0
0.0051371,0.0063587,0.0047828,0.0040441,2.0953e-17,0.0053482,0,0.0051285,0.0030684,0.0071096,0.0071096,0
0.0051393,0.0063587,0.0046364,0.0048054,-0.0047962,0,-0.0037953,0.0051317,0.0031284,0.0055673,0.0055673,0
0.0051414,0.0063587,0.0035184,0.0060539,-0.0071944,0,-0.0075906,0.005135,0.0036311,0.0044521,0.0044521,0
0.0051436,0.0063587,0.0024641,0.0046943,-0.0047962,0,-0.0037953,0.005135,0.0036311,0.0044521,0.0044521,0
0.0051458,0.0063587,0.0021995,0.0034145,-7.043e-17,0.0053482,0,0.0051416,0.0040329,0.0022621,0.0022621,0
0.005148,0.0063587,0.0021762,0.003311,0.0047962,0.0053482,0.0037953,0.0051448,0.003932,0.0011289,0.0011289,0
0.0051502,0.0063587,0.0032185,0.0065522,0.0071944,0.010696,0.0075906,0.0051612,0.0052489,0.0032331,0.0032331,0
0.0051524,0.0063587,0.0048138,0.0082586,0.012019,0.010696,0.011416,0.0051711,0.0041002,0.0040222,0.0040222,0
0.0051547,0.0063551,0.0050459,0.0074682,0.0024075,0.010696,0,0.0051842,0.004911,0.0029271,0.0029271,0
0.0051569,0.0063563,0.0053993,0.006095,-0.0036066,0.010696,0,0.005194,0.0043687,0.0016967,0.0016967,0
0.0051593,0.0063565,0.005497,0.0062082,-0.0024262,0.010696,-0.003825,0.0051973,0.0041059,0.00086893,0.00086893,0
0.0051616,0.0063563,0.0049205,0.0035272,0.0047962,0.010696,0.0037953,0.005194,0.003882,0.0020333,0.0020333,0
0.005164,0.0063565,0.0052294,0.0024456,0.0023981,0.010696,0.0037953,0.0052006,0.0028339,0.0043788,0.0043788,0
0.0051663,0.0063563,0.0056075,0.0016571,-0.0023981,0.0053482,-0.0037953,0.0052006,0.0028339,0.0043788,0.0043788,0
0.0051687,0.0063565,0.0061691,0.0052856,0.0096206,0.010696,0.011416,0.0051973,0.0031366,0.0045217,0.0045217,0
0.0051711,0.0063555,0.0067728,0.0054662,0.0036066,0.0053482,0,0.0052006,0.0028339,0.0043788,0.0043788,0
0.0051735,0.0063587,0.0077054,0.0045531,0.0084122,0.010696,0.011416,0.0052006,0.0028339,0.0043788,0.0043788,0
0.0051759,0.0063555,0.0082991,0.0015524,-0.0011897,0.0053482,-0.0037953,0.0052039,0.0024909,0.0046703,0.0046703,0
0.0051783,0.0063565,0.0076154,0.0051796,-0.0011991,0.0053482,0,0.0051973,0.0016807,0.0062339,0.0062339,0
0.0051808,0.0063555,0.0070711,0.0062741,-0.0084309,0,-0.0076203,0.0051973,0.0016807,0.0062339,0.0062339,0
0.0051831,0.0063555,0.0061397,0.0052779,-0.0036253,0,-0.003825,0.0052071,0.0064587,0.015071,0.015071,0
0.0051855,0.0063565,0.0048934,0.0038833,-0.0035972,0,-0.0037953,0.0052038,0.0063559,0.016437,0.016437,0
0.005188,0.0063555,0.0042904,0.0044703,-0.0047962,0,-0.0037953,0.0052071,0.0064587,0.015071,0.015071,0
0.0051904,0.0063587,0.0040892,0.0036008,1.8338e-17,0.0053482,0,0.0052104,0.0065206,0.013869,0.013869,0
0.0051928,0.0063555,0.0040139,0.0032585,0.0047962,0.0053482,0.0037953,0.0052203,0.0079149,0.0095249,0.0095249,0
0.0051952,0.0063565,0.0044508,0.0031628,0.0035972,0.0053482,0.0037953,0.0052334,0.0082394,0.0071192,0.0071192,0
0.0051977,0.0063555,0.004583,0.0022214,-8.2184e-18,0,0,0.0052432,0.0073321,0.0066918,0.0066918,0
0.0052001,0.0063587,0.0050637,0.0045217,5.3447e-17,0,0,0.0052432,0.0073321,0.0066918,0.0066918,0
0.0052025,0.0063555,0.0067687,0.012509,0.018014,0.0053482,0.019006,0.0052432,0.0073321,0.0066918,0.0066918,0
0.0052049,0.0063565,0.0072026,0.011856,0.0060047,0.0053482,0,0.0052498,0.0070086,0.0054851,0.0054851,0
0.0052074,0.0063555,0.0074644,0.010585,-0.0023794,0.010696,0.003825,0.0052531,0.0065417,0.0054698,0.0054698,0
0.0052098,0.0063587,0.0075758,0.010477,-0.01318,0.0053482,-0.015181,0.0052597,0.0059745,0.0047106,0.0047106,0
0.0052123,0.0063587,0.0070121,0.0068572,0.01082,0.010696,0.011416,0.0052466,0.0030734,0.0013389,0.0013389,0
0.0052148,0.0063587,0.0078713,0.008904,0.0095925,0.0053482,0.0075906,0.0052532,0.0026672,-3.6689e-05,-3.6689e-05,0
0.0052173,0.0063587,0.0085558,0.0053699,0.0035972,0.0053482,0.0037953,0.0052532,0.0026672,-3.6689e-05,-3.6689e-05,0
0.0052198,0.0063587,0.0076738,0.010606,-0.012019,0,-0.011416,0.005263,0.0039367,0.0010723,0.0010723,0
0.0052223,0.0063587,0.0063108,0.011376,-0.013227,0,-0.011416,0.0052531,0.0041216,0.0027165,0.0027165,0
0.0052248,0.0063587,0.0053294,0.0067435,2.679e-16,0.0053482,0,0.0052499,0.0036176,0.0034848,0.0034848,0
0.0052273,0.0063587,0.0050168,0.0052257,0.0060328,0.0053482,0.003825,0.0052466,0.0035563,0.0048707,0.0048707,0
0.0052298,0.0063587,0.0056042,0.0041144,0.0060234,0.010696,0.0076203,0.0052564,0.0036135,0.0031289,0.0031289,0
0.0052324,0.0063559,0.006151,0.00052488,-0.0023981,0.0053482,-0.0037953,0.0052663,0.0033067,0.0020448,0.0020448,0
0.005235,0.0063569,0.0059085,0.001409,0.0023981,0.010696,0.0037953,0.0052696,0.0036088,0.00099338,0.00099338,0
0.0052375,0.0063559,0.0060286,0.0020068,-0.0023981,0.0053482,-0.0037953,0.0052729,0.0033878,-2.7198e-05,-2.7198e-05,0
0.0052402,0.0063559,0.0065433,0.0041185,0.0095925,0.010696,0.011386,0.0052696,0.0036088,0.00099338,0.00099338,0
