@relation '<eda-dataset>-weka.filters.supervised.instance.SMOTE-C0-K5-P1000.0-S1-weka.filters.supervised.instance.SpreadSubsample-M2.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R3-4,6,9-11'

@attribute scl_mean numeric
@attribute scl_correlation numeric
@attribute eda_slope numeric
@attribute eda_difference numeric
@attribute eda_mean numeric
@attribute class {0,1}

@data
0.12851,0.99875,-0.000883,-0.00128,0.12988,0
0.10464,0,-0.000516,0,0.10552,0
0.318516,-0.999252,-0.001034,-0.00128,0.323831,1
0.318868,0.999932,-0.00098,-0.001672,0.32414,1
0.1125,1,0.00256,0.00256,0.11503,0
0.15251,1,0.003084,0.00257,0.15727,0
0.11735,-0.99438,0.00462,0.00385,0.11898,0
0.126371,0.987099,0.001006,0.000766,0.12806,1
0.319086,0.999339,0.001241,-0.002437,0.323341,1
0.15263,0.99944,-0.001882,-0.00128,0.15608,0
0.315792,1,-0.007578,0.002656,0.32158,1
0.11673,0.99936,-0.002048,-0.00128,0.11908,0
0.093456,0.99844,0.002051,0.001282,0.095162,0
0.13148,0.99933,-0,0,0.13516,0
0.14002,1,0.003584,0.00256,0.14252,0
0.12924,0,0.002207,0.00128,0.13073,1
0.14369,0.99893,-0.003584,-0.00256,0.14722,0
0.23163,1,-0.006144,-0.00384,0.23819,0
0.32918,0.99977,-0.009423,-0.00769,0.33684,0
0.318,-1,0.001536,0.00128,0.32403,1
0.137842,0.996193,0.001529,0.001281,0.092714,1
0.096475,-0.99933,-0.002564,-0.001282,0.098793,0
0.22625,1,0.004608,0.00384,0.23136,0
0.175084,0.991869,-0.002974,-0.001466,0.203746,1
0.25292,-1,0,-0.00256,0.25869,0
0.317524,0.999241,-0.000837,-0.00128,0.322513,1
0.14497,0.89443,0,0,0.14797,0
0.11876,0.7746,0.002048,0.00128,0.12095,0
0.32261,-1,-0.00256,0,0.32617,0
0.12516,1,-0.002052,0,0.1271,0
0.11255,1,0,0,0.11503,0
0.30203,1,-0.002568,-0.00257,0.3094,0
0.15938,0.99705,0.001882,0.00128,0.16281,0
0.321049,1,-0.000365,0,0.32574,1
0.14054,0.91287,-0.001536,-0.00128,0.14476,0
0.16209,-0.85749,-0.001506,-0.00128,0.16419,0
0.11197,-0.99782,0.003084,0.00257,0.11396,0
0.319221,-0.98426,-0.000052,-0.00067,0.324873,1
0.319154,0.999167,0.00514,0.004235,0.32468,1
0.155296,-0.97917,0.000537,0.002529,0.297955,1
0.316499,0.999575,-0.005056,-0.000408,0.322805,1
0.24582,-1,-0.004096,-0.00256,0.2493,0
0.319907,0.998996,0.00183,0,0.323801,1
0.11993,0.99119,-0.00244,-0.00257,0.12229,0
0.12677,0.99254,0.001518,0.00129,0.12902,0
0.088135,0.999968,0.002674,0.001402,0.09052,1
0.15745,0.99254,0.000003,-0.00128,0.15928,0
0.15827,-0.99655,-0,0,0.16089,0
0.086348,1,0.000513,0,0.088753,0
0.16262,-0.99655,-0.001545,-0.00128,0.16579,0
0.318442,-0.999673,0.000093,-0.000961,0.32382,1
0.25304,0,0.001024,0.00128,0.25901,0
0.11537,0.89443,0.001024,0.00128,0.11716,0
0.126327,0.993482,0.001236,0.000519,0.128024,1
0.24575,0.99726,-0.002048,-0.00128,0.24876,0
0.259953,-0.829356,-0.002169,-0.001819,0.25315,1
0.31857,0.99438,-0.003072,-0.00256,0.32211,1
0.18534,0.998602,-0.002798,-0.001096,0.243421,1
0.11977,-1,-0.003084,-0.00257,0.12133,0
0.12923,0,0.000753,0.000222,0.131122,1
0.39715,-0.99705,-0.001882,-0.00128,0.40432,0
0.11171,0.99655,0.001536,0.00128,0.1146,0
0.116376,0.99155,-0.000026,-0.00103,0.11844,1
0.1588,0.99655,-0.000883,-0.00128,0.16281,0
0.149,1,0.001882,0.00128,0.15128,0
0.273658,0.999282,0.001172,-0.001104,0.157956,1
0.129889,0.984158,0.001671,0.00129,0.14555,1
0.120207,1,0.002144,0.00128,0.153005,1
0.11755,-0.98271,0.001536,0.00128,0.11898,0
0.316385,0.99879,0.005752,0.00561,0.32363,1
0.155143,0.998842,0.003392,0.000263,0.245107,1
0.103089,0.999923,0.001421,0.000635,0.129481,1
0.305759,0.991339,-0.000471,-0.001096,0.170458,1
0.125641,0.991516,-0.00079,-0.001989,0.124951,1
0.10462,0.99591,0.001024,0.00128,0.10787,0
0.218789,0.997497,0.002223,0.001145,0.2424,1
0.1539,0.92848,0.000662,0,0.1564,0
0.316215,0.999839,0.001232,0.001253,0.322323,1
0.13666,1,0.008192,0.0064,0.14028,0
0.11728,-0.2582,-0.001024,-0.00128,0.11999,0
0.32181,-0.89443,-0.002048,-0.00128,0.32755,0
0.11469,0.99438,0,0,0.11738,0
0.321045,1,-0.000404,0,0.32574,1
0.318924,0.997311,0.000873,0.00123,0.322264,1
0.41042,-0.99655,-0.006841,-0.00512,0.41318,0
0.32268,-1,-0.002052,0,0.32884,0
0.16259,-0.97619,0,0,0.16569,0
0.1154,0.89443,0.003072,0.00256,0.11738,0
0.231876,0.999865,-0.002207,-0.001884,0.191732,1
0.11453,-1,0,0,0.11663,0
0.092854,1,0.001537,0.001281,0.094628,0
0.27605,0.99358,-0.002444,-0.002403,0.240414,1
0.150423,0.999952,0.000061,0,0.133525,1
0.319746,0.998987,0.005225,0.00507,0.324493,1
0.11635,1,0.002048,0.00128,0.11957,0
0.318512,-0.999579,0.001824,0.000998,0.323741,1
